csv_table,csv_column,usage,is_necessary,nba_api_endpoint,nba_api_column,comment
game_details,GAME_ID,,1,,,
game_details,TEAM_ID,,1,,,
game_details,TEAM_ABBREVIATION,,0,,,
game_details,TEAM_CITY,,0,,,
game_details,PLAYER_ID,id,1,,,
game_details,PLAYER_NAME,"display and filtering, not necessary if in different table",,,,
game_details,NICKNAME,,0,,,
game_details,START_POSITION,starter and position,0,,,
game_details,COMMENT,injuries,0,,,
game_details,MIN,counting stats,1,,,
game_details,FGM,counting stats,1,,,
game_details,FGA,counting stats,1,,,
game_details,FG_PCT,counting stats,0,,,
game_details,FG3M,counting stats,1,,,
game_details,FG3A,counting stats,1,,,
game_details,FG3_PCT,counting stats,0,,,
game_details,FTM,counting stats,1,,,
game_details,FTA,counting stats,1,,,
game_details,FT_PCT,counting stats,0,,,
game_details,OREB,counting stats,0,,,
game_details,DREB,counting stats,0,,,
game_details,REB,counting stats,1,,,
game_details,AST,counting stats,1,,,
game_details,STL,counting stats,1,,,
game_details,BLK,counting stats,1,,,
game_details,TO,counting stats,1,,,
game_details,PF,counting stats,1,,,
game_details,PTS,counting stats,1,,,
game_details,PLUS_MINUS,counting stats,0,,,
games,GAME_DATE_EST,,1,,,
games,GAME_ID,,1,,,
games,GAME_STATUS_TEXT,,0,,,
games,HOME_TEAM_ID,,1,,,
games,VISITOR_TEAM_ID,,1,,,
games,SEASON,,0,,,
games,TEAM_ID_home,,0,,,
games,PTS_home,,1,,,
games,FG_PCT_home,,1,,,
games,FT_PCT_home,,0,,,
games,FG3_PCT_home,,1,,,
games,AST_home,,1,,,
games,REB_home,,1,,,
games,TEAM_ID_away,,0,,,
games,PTS_away,,0,,,
games,FG_PCT_away,,0,,,
games,FT_PCT_away,,0,,,
games,FG3_PCT_away,,0,,,
games,AST_away,,0,,,
games,REB_away,,0,,,
games,HOME_TEAM_WINS,,1,,,
seasons,season_start,,1,,,
seasons,season_end,,1,,,
seasons,season,,1,,,
seasons,season_short,,1,,,
seasons,min_games,,1,,,
seasons,max_games,,1,,,
seasons,number_of_teams,,1,,,
seasons,preseason_end,,1,,,
seasons,postseason_start,,1,,,
seasons,postseason_end,,1,,,
